RMSE_3,MAPE_3,MAE_3,RMSE_6,MAPE_6,MAE_6,RMSE_12,MAPE_12,MAE_12
4.608404749247373,6.202173978090286,3.5879523754119873,5.021217342058737,6.75048753619194,3.8312947750091553,5.863194718507045,8.115386962890625,4.361975193023682
5.534224750152913,8.715257793664932,4.375485897064209,5.806256622540626,9.164094179868698,4.520163536071777,6.6051095315541986,10.487501323223114,4.975074768066406
4.549693070004833,6.613501161336899,3.359530448913574,4.917343524097577,7.188653200864792,3.576498031616211,5.973623792421055,8.773139119148254,4.125433921813965
6.308838641725133,9.143154323101044,5.581531047821045,6.582075296588527,9.427999705076218,5.7414655685424805,7.457690873703777,10.879653692245483,6.2909979820251465
5.515206210309486,7.560963928699493,4.3855438232421875,5.781004864418611,7.916580140590668,4.54952335357666,6.648986291704578,9.299024939537048,5.061485290527344
4.665218855292154,6.075482815504074,3.3319613933563232,5.0293402986596245,6.485190987586975,3.550139904022217,6.071721251028848,8.096103370189667,4.1381025314331055
4.443631945623316,6.272990256547928,3.6442079544067383,4.871497045002969,6.723581254482269,3.86960768699646,5.913351966171985,8.248192071914673,4.443669319152832
4.207410478279872,5.632106959819794,3.18977427482605,4.677126583361009,6.196359172463417,3.429246425628662,5.645506883405693,7.721890509128571,3.9914426803588867
5.290532729036541,7.664352655410767,4.377813339233398,5.538348798949308,8.08165892958641,4.543063163757324,6.567863960650771,9.778625518083572,5.139665126800537
5.015692119208712,7.260216772556305,3.9106359481811523,5.393883999854078,7.646467536687851,4.130681037902832,6.353375428344849,9.149190038442612,4.707528591156006
