RMSE_3,MAPE_3,MAE_3,RMSE_6,MAPE_6,MAE_6,RMSE_12,MAPE_12,MAE_12
5.743041098331868,7.01584592461586,2.8599257469177246,5.8184144477504365,7.1600861847400665,3.0051984786987305,6.393695121820481,7.985089719295502,3.4536807537078857
5.364496836535939,6.375971436500549,2.618781805038452,5.481242010443507,6.5115101635456085,2.746598958969116,6.137227523566761,7.403458654880524,3.215333938598633
8.890168029089732,12.45286911725998,5.3835554122924805,8.845121135841772,12.28305846452713,5.408452033996582,8.998328583540573,12.404562532901764,5.534148693084717
5.556939592682176,6.760433316230774,2.713186264038086,5.665188128991414,6.872599571943283,2.829934597015381,6.337033780196194,7.7492669224739075,3.2785441875457764
5.978830184063856,7.203365117311478,2.8072640895843506,5.975427537250342,7.165104895830154,2.8693556785583496,6.418172023941572,7.764372229576111,3.1770646572113037
5.333324948940044,6.514011323451996,2.811398506164551,5.437532972915472,6.666553765535355,2.9385809898376465,6.208234781938101,7.686079293489456,3.4607996940612793
5.67290056693092,7.023834437131882,2.9222068786621094,5.698537659032887,7.078879326581955,3.0272064208984375,6.211366190001122,7.79256597161293,3.4045417308807373
5.932827687237771,7.624511420726776,3.2077012062072754,6.051961016663673,7.731068879365921,3.318692207336426,6.703067805973218,8.496560901403427,3.7022359371185303
5.918580761980357,7.5374700129032135,3.1344432830810547,5.927010677095685,7.551565766334534,3.224583387374878,6.4274483138639535,8.259489387273788,3.602548360824585
5.574832061838293,6.90685361623764,2.806220769882202,5.672574423129017,7.007135450839996,2.9180667400360107,6.296698404490971,7.83730074763298,3.3554961681365967
