RMSE_3,MAPE_3,MAE_3,RMSE_6,MAPE_6,MAE_6,RMSE_12,MAPE_12,MAE_12
3.402457549582211,3.954918682575226,2.034580945968628,3.882627302392944,4.429499804973602,2.1762356758117676,4.9967816485475645,5.553605407476425,2.605724811553955
2.986117987415371,3.348533809185028,1.5228636264801025,3.5985672218835982,4.019015654921532,1.7951126098632812,4.72580641066465,5.1834166049957275,2.274280071258545
3.121739784955361,3.4049078822135925,1.5263808965682983,3.814365368374161,4.154986143112183,1.8376282453536987,5.119102061627449,5.39928562939167,2.343191385269165
3.249378144852807,3.5075847059488297,1.7095181941986084,3.8650400692144578,4.168526455760002,1.9404797554016113,5.078109224735113,5.442219972610474,2.4459481239318848
3.1894665803643,3.500237688422203,1.5969833135604858,3.720026005684798,4.137372970581055,1.8665571212768555,4.941066371401692,5.379118770360947,2.395066499710083
3.573765393464492,4.234863817691803,1.9943201541900635,4.053819037833819,4.622329026460648,2.130749225616455,5.048597295859684,5.429470166563988,2.437526226043701
3.708809396996496,3.95515076816082,1.8446077108383179,4.293606045237977,4.624372348189354,2.109382152557373,5.382357861900717,5.800036713480949,2.6528329849243164
3.750733494548946,4.214245453476906,2.009657382965088,4.2713850207781014,4.835046827793121,2.2356855869293213,5.272515652933124,5.948886275291443,2.7310986518859863
3.1862377584648005,3.4227795898914337,1.7249873876571655,3.8382725338766037,4.180626943707466,2.021361827850342,5.1605875901996905,5.619148910045624,2.6111161708831787
3.4889313197812295,4.602913558483124,2.4233765602111816,3.9160655486998515,5.037413164973259,2.5888943672180176,5.161250793205675,6.047554686665535,3.011183738708496
